portuguese,english
que,what
não,no
de,in
você,you
eu,I
um,a
para,for
se,if
está,it is
uma,one
com,with
me,me
por,per
ele,he
isso,this
em,in
do,of
bem,good
mas,but
como,how
da,gives
os,you
no,at the
aqui,on here
na,at
sim,Yes
ela,Is it over there
mais,more
tem,have
meu,mine
seu,your
vai,go
as,at
muito,very
vamos,we will
foi,he was
estou,I am
sua,your
tudo,all
só,only
minha,mine
agora,now
pode,he can
te,you
então,then
vou,I go
sei,know
fazer,do
quando,When
ser,to be
nós,we
tenho,have
quer,would you like
nos,us
certo,right
eles,they
já,already
sabe,You know
quem,who
estava,was
nada,anything
era,it was
onde,Where
lá,there
quero,I want
ao,to the
ou,or
sou,I am
disse,he said
bom,well
há,there is
posso,I can
são,are
ter,to have
dizer,tell
mim,me
porque,why
pra,for
acho,think
coisa,thing
mesmo,same
estão,they are
sobre,on
todos,all
até,until
lo,it
cara,guy
nunca,Never
quê,what
assim,so
tempo,time
algo,something
esse,this
isto,this
essa,That
casa,home
ver,to see
vocês,you guys
favor,favor
temos,we have
dos,From
também,also
ainda,still
deus,God
ir,go
noite,night
tão,So
obrigado,thanks
sem,without
melhor,best
dia,day
esta,it is
estamos,we are
talvez,perhaps
pai,dad
alguém,somebody
senhor,Mr
vida,life
anos,years old
mãe,mom
este,This one
sr,MR
sempre,ever
vez,turn
verdade,truth
dele,his
seus,their
ficar,stay
parece,looks
aí,Ouch
preciso,necessary
falar,to speak
oh,Oh
coisas,stuff
nem,nor
homem,men
depois,after
claro,clear
pelo,fur
antes,before
fazendo,doing
tinha,he had
lhe,him
boa,Good
faz,he does
dois,two
pessoas,people
pouco,little
ei,Hey
deve,he must
acha,he thinks
qual,which
todo,all
la,there
lugar,place
fora,outside
apenas,only
estar,be
ninguém,nobody
fez,did
disso,from that
trabalho,job
precisa,it needs
comigo,with me
das,of
dar,to give
alguma,some
saber,know
novo,new
mundo,world
desculpe,excuse me
hoje,today
nome,Name
seja,be
queria,I wanted
vá,go
sinto,I feel
dinheiro,cash
podemos,we can
diga,say it
grande,big
filho,son
suas,your
quanto,how much
nossa,Wow
deixe,leave
vão,they go
pela,through the
outro,other
qualquer,any
será,it will be
meus,my
